,st_cty_code,county,state,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
93,200261,Valdez-Cordova Census Area,AK,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
94,200275,Wrangell City and Borough,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,200282,Yakutat City and Borough,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,200290,Yukon-Koyukuk Census Area,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97,200999,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
98,4001,Apache County,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
99,4003,Cochise County,AZ,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0
100,4005,Coconino County,AZ,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,1,3,2
101,4007,Gila County,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0
102,4009,Graham County,AZ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103,40011,Greenlee County,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,40012,La Paz County,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
105,40013,Maricopa County,AZ,1,2,3,1,10,7,6,0,8,3,0,7,3,16,10,2,5,14,1
106,40015,Mohave County,AZ,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,1
107,40017,Navajo County,AZ,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0
108,40019,Pima County,AZ,0,0,1,1,2,3,2,0,0,4,0,4,3,7,1,7,3,3,1
109,40021,Pinal County,AZ,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0
110,40023,Santa Cruz County,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
111,40025,Yavapai County,AZ,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,2,1,1
112,40027,Yuma County,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
113,400999,Arizona,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,5001,Arkansas County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,5003,Ashley County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,5005,Baxter County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,5007,Benton County,AR,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118,5009,Boone County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,50011,Bradley County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,50013,Calhoun County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,50015,Carroll County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,50017,Chicot County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,50019,Clark County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,50021,Clay County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,50023,Cleburne County,AR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,50025,Cleveland County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,50027,Columbia County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,50029,Conway County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,50031,Craighead County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,50033,Crawford County,AR,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,50035,Crittenden County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,50037,Cross County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,50039,Dallas County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
134,50041,Desha County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,50043,Drew County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,50045,Faulkner County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,50047,Franklin County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,50049,Fulton County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,50051,Garland County,AR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,50053,Grant County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,50055,Greene County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,50057,Hempstead County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,50059,Hot Spring County,AR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,50061,Howard County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,50063,Independence County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
146,50065,Izard County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,50067,Jackson County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,50069,Jefferson County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,50071,Johnson County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,50073,Lafayette County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,50075,Lawrence County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,50077,Lee County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,50079,Lincoln County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,50081,Little River County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,50083,Logan County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,50085,Lonoke County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
157,50087,Madison County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,50089,Marion County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,50091,Miller County,AR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,50093,Mississippi County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,50095,Monroe County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,50097,Montgomery County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,50099,Nevada County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,500101,Newton County,AR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,500103,Ouachita County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,500105,Perry County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,500107,Phillips County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,500109,Pike County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,500111,Poinsett County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,500113,Polk County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,500115,Pope County,AR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,500117,Prairie County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
173,500119,Pulaski County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
174,500121,Randolph County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,500123,St. Francis County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,500125,Saline County,AR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,500127,Scott County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,500129,Searcy County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,500131,Sebastian County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,500133,Sevier County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,500135,Sharp County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,500137,Stone County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,500139,Union County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,500141,Van Buren County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,500143,Washington County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
186,500145,White County,AR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,500147,Woodruff County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,500149,Yell County,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,500999,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
190,6001,Alameda County,CA,4,3,7,2,0,5,3,3,6,3,3,2,4,0,1,8,12,13,2
191,6003,Alpine County,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,6005,Amador County,CA,0,1,0,0,0,0,1,2,0,0,1,0,0,1,0,2,0,0,0
193,6007,Butte County,CA,3,1,3,2,2,0,1,0,2,3,2,0,1,0,2,0,3,0,0
194,6009,Calaveras County,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
195,60011,Colusa County,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,60013,Contra Costa County,CA,1,5,3,4,0,4,1,0,1,3,1,3,1,4,3,5,8,10,9
197,60015,Del Norte County,CA,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
198,60017,El Dorado County,CA,0,0,0,0,3,3,3,2,0,3,2,0,2,2,1,2,3,1,0
199,60019,Fresno County,CA,1,0,1,0,0,0,1,0,2,1,3,0,4,0,0,1,1,0,1
200,60021,Glenn County,CA,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0
201,60023,Humboldt County,CA,10,4,5,5,7,11,4,6,6,4,14,8,2,4,5,8,6,2,1
202,60025,Imperial County,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
203,60027,Inyo County,CA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
204,60029,Kern County,CA,2,0,2,1,0,2,1,2,5,2,2,0,0,0,0,1,1,1,0
205,60031,Kings County,CA,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0
206,60033,Lake County,CA,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1
207,60035,Lassen County,CA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,60037,Los Angeles County,CA,2,9,6,7,2,8,11,9,8,7,11,6,0,20,6,4,2,3,4
209,60039,Madera County,CA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
210,60041,Marin County,CA,3,1,4,4,0,3,6,3,2,3,4,1,3,6,3,3,3,0,2
211,60043,Mariposa County,CA,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0
212,60045,Mendocino County,CA,7,4,10,6,2,1,0,5,9,7,10,7,4,1,2,0,1,2,0
213,60047,Merced County,CA,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
214,60049,Modoc County,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,60051,Mono County,CA,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
216,60053,Monterey County,CA,1,1,5,1,1,0,0,0,0,0,1,1,1,1,0,2,2,0,0
217,60055,Napa County,CA,2,3,1,0,1,1,0,3,0,2,0,1,2,1,2,1,1,0,2
218,60057,Nevada County,CA,9,6,3,4,1,3,2,2,2,1,5,6,2,0,0,0,2,0,1
219,60059,Orange County,CA,3,0,3,2,0,1,2,1,1,1,7,6,0,0,0,0,0,0,0
220,60061,Placer County,CA,1,4,3,0,2,2,3,0,1,4,0,1,2,1,0,0,2,3,0
221,60063,Plumas County,CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
222,60065,Riverside County,CA,3,2,1,2,1,4,0,0,1,5,1,5,1,2,3,2,4,4,5
223,60067,Sacramento County,CA,3,4,2,4,2,6,3,2,0,0,1,1,0,0,0,0,1,1,3
224,60069,San Benito County,CA,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
225,60071,San Bernardino County,CA,1,0,0,1,0,0,0,0,1,2,0,2,0,1,0,1,1,0,1
226,60073,San Diego County,CA,9,3,7,2,4,8,9,5,3,10,10,7,6,6,7,10,7,5,7
227,60075,San Francisco County,CA,2,3,3,3,1,8,6,3,5,1,10,1,1,9,0,0,0,18,16
228,60077,San Joaquin County,CA,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,1,0,1
229,60079,San Luis Obispo County,CA,1,0,0,0,0,1,0,0,1,0,0,1,0,3,3,4,2,0,2
230,60081,San Mateo County,CA,2,4,3,5,1,4,2,0,2,11,2,0,1,8,5,5,8,2,0
231,60083,Santa Barbara County,CA,0,1,2,3,2,0,0,2,2,9,1,5,0,7,1,3,6,3,5
