,st_cty_code,county,state,cases
517,1300247,Rockdale County,GA,0
518,1300249,Schley County,GA,0
519,1300251,Screven County,GA,0
520,1300253,Seminole County,GA,0
521,1300255,Spalding County,GA,1
522,1300257,Stephens County,GA,0
523,1300259,Stewart County,GA,0
524,1300261,Sumter County,GA,1
525,1300263,Talbot County,GA,0
526,1300265,Taliaferro County,GA,0
527,1300267,Tattnall County,GA,0
528,1300269,Taylor County,GA,0
529,1300271,Telfair County,GA,0
530,1300273,Terrell County,GA,0
531,1300275,Thomas County,GA,0
532,1300277,Tift County,GA,0
533,1300279,Toombs County,GA,0
534,1300281,Towns County,GA,0
535,1300283,Treutlen County,GA,0
536,1300285,Troup County,GA,0
537,1300287,Turner County,GA,0
538,1300289,Twiggs County,GA,0
539,1300291,Union County,GA,0
540,1300293,Upson County,GA,0
541,1300295,Walker County,GA,1
542,1300297,Walton County,GA,0
543,1300299,Ware County,GA,0
544,1300301,Warren County,GA,0
545,1300303,Washington County,GA,0
546,1300305,Wayne County,GA,0
547,1300307,Webster County,GA,0
548,1300309,Wheeler County,GA,0
549,1300311,White County,GA,0
550,1300313,Whitfield County,GA,0
551,1300315,Wilcox County,GA,0
552,1300317,Wilkes County,GA,0
553,1300319,Wilkinson County,GA,0
554,1300321,Worth County,GA,0
555,1300999,Georgia,GA,0
556,15001,Hawaii County,HI,0
557,15003,Honolulu County,HI,0
558,15005,Kalawao County,HI,0
559,15007,Kauai County,HI,0
560,15009,Maui County,HI,0
561,1500999,Hawaii,HI,0
562,16001,Ada County,ID,0
563,16003,Adams County,ID,0
564,16005,Bannock County,ID,0
565,16007,Bear Lake County,ID,0
566,16009,Benewah County,ID,0
567,160011,Bingham County,ID,0
568,160013,Blaine County,ID,2
569,160015,Boise County,ID,0
570,160017,Bonner County,ID,1
571,160019,Bonneville County,ID,0
572,160021,Boundary County,ID,0
573,160023,Butte County,ID,0
574,160025,Camas County,ID,0
575,160027,Canyon County,ID,4
576,160029,Caribou County,ID,0
577,160031,Cassia County,ID,0
578,160033,Clark County,ID,0
579,160035,Clearwater County,ID,0
580,160037,Custer County,ID,0
581,160039,Elmore County,ID,0
582,160041,Franklin County,ID,0
583,160043,Fremont County,ID,0
584,160045,Gem County,ID,0
585,160047,Gooding County,ID,0
586,160049,Idaho County,ID,0
587,160051,Jefferson County,ID,0
588,160053,Jerome County,ID,0
589,160055,Kootenai County,ID,0
590,160057,Latah County,ID,0
591,160059,Lemhi County,ID,0
592,160061,Lewis County,ID,0
593,160063,Lincoln County,ID,0
594,160065,Madison County,ID,1
595,160067,Minidoka County,ID,0
596,160069,Nez Perce County,ID,0
597,160071,Oneida County,ID,0
598,160073,Owyhee County,ID,0
599,160075,Payette County,ID,0
600,160077,Power County,ID,0
601,160079,Shoshone County,ID,0
602,160081,Teton County,ID,1
603,160083,Twin Falls County,ID,0
604,160085,Valley County,ID,0
