,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
88,1983,33.2033.2,33.5033.5,43.1043.1,50.6050.6,60.0060.0,70.6070.6,77.0077.0,75.5075.5,67.7067.7,55.5055.5,46.1046.1,33.5033.5
89,1984,26.6026.6,39.4039.4,36.2036.2,49.5049.5,60.3060.3,72.4072.4,73.8073.8,74.6074.6,63.8063.8,60.1060.1,44.1044.1,42.1042.1
90,1985,26.7026.7,35.0035.0,44.1044.1,54.3054.3,63.7063.7,68.0068.0,74.9074.9,73.0073.0,68.0068.0,57.5057.5,50.3050.3,32.0032.0
91,1986,32.4032.4,31.0031.0,43.1043.1,50.9050.9,64.1064.1,71.0071.0,75.7075.7,71.9071.9,66.2066.2,56.6056.6,44.0044.0,37.4037.4
92,1987,30.6030.6,30.8030.8,43.2043.2,50.8050.8,62.6062.6,72.6072.6,77.4077.4,72.5072.5,67.0067.0,51.2051.2,47.2047.2,37.8037.8
93,1988,26.8026.8,34.0034.0,42.9042.9,49.4049.4,61.3061.3,69.8069.8,77.6077.6,76.6076.6,64.4064.4,50.1050.1,45.9045.9,34.3034.3
94,1989,35.8035.8,34.0034.0,41.4041.4,49.8049.8,60.2060.2,72.9072.9,74.1074.1,73.5073.5,67.0067.0,56.4056.4,44.1044.1,24.3024.3
95,1990,39.4039.4,40.4040.4,44.9044.9,51.3051.3,59.8059.8,70.6070.6,75.6075.6,73.8073.8,65.0065.0,60.0060.0,47.8047.8,40.9040.9
96,1991,33.7033.7,39.0039.0,44.2044.2,53.1053.1,66.9066.9,71.7071.7,76.3076.3,75.3075.3,65.8065.8,56.5056.5,46.2046.2,39.3039.3
97,1992,34.1034.1,36.0036.0,39.2039.2,49.6049.6,58.3058.3,67.9067.9,74.2074.2,70.7070.7,66.1066.1,52.0052.0,45.5045.5,36.9036.9
98,1993,36.7036.7,30.3030.3,38.4038.4,51.4051.4,62.7062.7,70.5070.5,77.1077.1,74.6074.6,66.5066.5,54.1054.1,45.4045.4,35.0035.0
99,1994,26.0026.0,30.3030.3,40.4040.4,55.4055.4,59.1059.1,73.7073.7,78.2078.2,71.3071.3,65.0065.0,53.4053.4,49.7049.7,40.4040.4
100,1995,37.2037.2,30.2030.2,44.4044.4,50.8050.8,60.4060.4,70.3070.3,77.3077.3,75.0075.0,67.0067.0,58.9058.9,41.9041.9,31.3031.3
101,1996,30.8030.8,33.9033.9,37.5037.5,51.9051.9,59.6059.6,71.6071.6,73.1073.1,73.0073.0,67.6067.6,55.1055.1,40.3040.3,40.0040.0
102,1997,32.1032.1,39.8039.8,42.8042.8,49.3049.3,58.2058.2,68.8068.8,75.3075.3,72.3072.3,65.7065.7,55.3055.3,43.4043.4,37.6037.6
103,1998,40.6040.6,40.2040.2,44.4044.4,53.6053.6,64.0064.0,69.9069.9,75.6075.6,75.1075.1,69.9069.9,55.9055.9,45.7045.7,40.7040.7
104,1999,35.2035.2,36.5036.5,41.2041.2,51.3051.3,61.5061.5,71.6071.6,79.5079.5,75.2075.2,68.3068.3,54.0054.0,49.6049.6,39.4039.4
105,2000,31.7031.7,37.3037.3,46.7046.7,50.9050.9,63.4063.4,72.2072.2,72.4072.4,72.3072.3,65.9065.9,56.1056.1,43.7043.7,30.3030.3
106,2001,30.9030.9,36.8036.8,39.4039.4,52.7052.7,62.4062.4,72.6072.6,72.3072.3,76.8076.8,65.9065.9,56.5056.5,50.2050.2,42.0042.0
107,2002,38.0038.0,39.8039.8,44.6044.6,55.2055.2,61.1061.1,71.5071.5,77.0077.0,76.6076.6,68.8068.8,55.6055.6,44.3044.3,34.8034.8
108,2003,27.8027.8,29.3029.3,43.1043.1,49.6049.6,57.4057.4,68.8068.8,75.6075.6,76.2076.2,68.0068.0,54.0054.0,49.8049.8,36.7036.7
109,2004,26.2026.2,34.8034.8,44.3044.3,53.0053.0,67.7067.7,70.5070.5,74.8074.8,73.5073.5,68.7068.7,54.7054.7,47.3047.3,37.3037.3
110,2005,32.1032.1,35.6035.6,38.6038.6,53.1053.1,57.4057.4,73.0073.0,77.2077.2,77.4077.4,71.0071.0,57.4057.4,48.8048.8,34.2034.2
111,2006,40.3040.3,35.5035.5,43.1043.1,54.5054.5,62.6062.6,71.3071.3,77.9077.9,75.6075.6,65.7065.7,54.9054.9,50.9050.9,42.9042.9
112,2007,38.8038.8,28.7028.7,42.8042.8,50.0050.0,63.9063.9,71.8071.8,74.9074.9,74.8074.8,69.0069.0,63.1063.1,45.0045.0,37.5037.5
113,2008,36.0036.0,37.4037.4,44.0044.0,53.9053.9,59.3059.3,74.4074.4,77.1077.1,72.4072.4,68.6068.6,54.5054.5,44.7044.7,38.5038.5
114,2009,29.0029.0,36.8036.8,42.3042.3,53.5053.5,62.6062.6,68.7068.7,73.2073.2,76.0076.0,65.8065.8,54.5054.5,50.0050.0,36.0036.0
115,2010,32.7032.7,31.8031.8,47.5047.5,56.6056.6,65.2065.2,75.3075.3,79.4079.4,76.2076.2,70.5070.5,57.1057.1,45.8045.8,31.7031.7
116,2011,28.5028.5,37.1037.1,42.4042.4,55.6055.6,65.0065.0,73.4073.4,80.0080.0,74.4074.4,70.4070.4,56.6056.6,50.4050.4,42.2042.2
117,2012,37.7037.7,40.2040.2,51.1051.1,53.6053.6,66.4066.4,71.2071.2,79.0079.0,75.9075.9,68.2068.2,57.9057.9,42.2042.2,42.3042.3
118,2013,35.4035.4,34.7034.7,39.5039.5,52.6052.6,62.0062.0,72.3072.3,78.7078.7,72.2072.2,65.2065.2,57.9057.9,43.9043.9,37.7037.7
119,2014,28.2028.2,31.5031.5,37.5037.5,51.4051.4,62.8062.8,71.8071.8,74.9074.9,71.4071.4,67.5067.5,57.6057.6,43.4043.4,40.2040.2
120,2015,30.0030.0,24.7024.7,37.7037.7,52.6052.6,67.4067.4,71.6071.6,76.2076.2,75.2075.2,71.5071.5,55.3055.3,50.8050.8,50.1050.1
121,2016,33.0033.0,37.4037.4,48.3048.3,51.3051.3,60.7060.7,71.9071.9,78.2078.2,78.0078.0,70.8070.8,57.8057.8,47.5047.5,37.6037.6
122,2017,37.6037.6,42.6042.6,40.8040.8,57.2057.2,61.1061.1,71.6071.6,76.9076.9,72.7072.7,69.0069.0,61.1061.1,45.9045.9,34.7034.7
123,2018,31.5031.5,42.1042.1,39.3039.3,49.5049.5,66.7066.7,71.3071.3,76.9076.9,78.1078.1,71.8071.8,57.8057.8,43.9043.9,39.5039.5
124,2019,33.2033.2,36.8036.8,41.4041.4,56.5056.5,64.6064.6,72.2072.2,79.1079.1,75.4075.4,70.4070.4,59.4059.4,42.4042.4,38.7038.7
